,categories,num_of_categories,num_of_houses,MAE_relevant_houses,MSE_relevant_houses,RMSE_relevant_houses,R2_relevant_houses,MAE_all_houses,MSE_all_houses,RMSE_all_houses,R2_all_houses,MAE_home9,MSE_home9,RMSE_home9,R2_home9,MAE_home114,MSE_home114,RMSE_home114,R2_home114,MAE_home5,MSE_home5,RMSE_home5,R2_home5,MAE_home89,MSE_home89,RMSE_home89,R2_home89,MAE_home17,MSE_home17,RMSE_home17,R2_home17,MAE_home63,MSE_home63,RMSE_home63,R2_home63,MAE_home2,MSE_home2,RMSE_home2,R2_home2,MAE_home101,MSE_home101,RMSE_home101,R2_home101,MAE_home14,MSE_home14,RMSE_home14,R2_home14,MAE_home95,MSE_home95,RMSE_home95,R2_home95,MAE_home111,MSE_home111,RMSE_home111,R2_home111,MAE_home67,MSE_home67,RMSE_home67,R2_home67,MAE_home77,MSE_home77,RMSE_home77,R2_home77,MAE_home43,MSE_home43,RMSE_home43,R2_home43,MAE_home86,MSE_home86,RMSE_home86,R2_home86,MAE_home90,MSE_home90,RMSE_home90,R2_home90,MAE_home47,MSE_home47,RMSE_home47,R2_home47,MAE_home110,MSE_home110,RMSE_home110,R2_home110,MAE_home93,MSE_home93,RMSE_home93,R2_home93,MAE_home53,MSE_home53,RMSE_home53,R2_home53,MAE_home34,MSE_home34,RMSE_home34,R2_home34,MAE_home51,MSE_home51,RMSE_home51,R2_home51,MAE_home106,MSE_home106,RMSE_home106,R2_home106,MAE_home46,MSE_home46,RMSE_home46,R2_home46,MAE_home79,MSE_home79,RMSE_home79,R2_home79,MAE_home55,MSE_home55,RMSE_home55,R2_home55,MAE_home65,MSE_home65,RMSE_home65,R2_home65,MAE_home13,MSE_home13,RMSE_home13,R2_home13
lstm_absorption_houses_1,absorption,1.0,1,1.0647190981856631,12.27432009932893,3.503472577219484,-0.005624258435886,1.9919076708507328,45.751645749252425,6.139479070610775,-0.0433861712567069,1.0647190981856631,12.27432009932893,3.503472577219484,-0.005624258435886,0.7971093567778607,3.3020818651859654,1.81716313664623,-0.1245653415991558,2.58917055802559,66.86567052455591,8.177143176229453,-0.0326938410772925,2.278234388464982,63.81941167435471,7.988705256445171,-0.0179642814287244,0.7869972071468004,2.0232868973742355,1.4224228968117167,-0.2241026780069173,2.211131493628342,31.15445088452741,5.581617228413949,-0.0465536107362383,1.32445536213534,20.05623048564265,4.478418301771581,0.0017833704058873,3.098836199508543,71.63760208299725,8.463899933422963,-0.0614392131131364,3.305449635514919,112.66225889767544,10.614247919550184,-0.0415151255357668,1.2156804313780636,19.803969757373007,4.45016513821375,-0.0069418569039971,1.159792507159615,10.02765967860206,3.166648019373492,-0.0056119601086173,2.2148701838828826,52.01454497950086,7.21211099328767,-0.0156524844126288,0.7944176084576063,2.4239935053258828,1.556917950736609,-0.1850480434898964,3.1921131350978142,113.62899172312984,10.659690038792396,-0.0385732080625425,1.7063516665724043,17.244253324520265,4.1526200554012,-0.0313304950777155,1.4462454441646864,23.81236143045548,4.879791125699489,-0.0033393308211739,0.8867160070666318,5.835479332342682,2.4156736808481982,-0.0568266057115052,1.6620233693148896,53.56492116437767,7.318805993082319,-0.004169934604123,2.866117880556136,73.63516996290865,8.581093750968384,-0.0424061139116176,2.880306281932815,82.25062086370123,9.0692128028678,-0.0364954898594591,1.4417659736286612,34.83527427680261,5.902141499218958,-0.007507488737285,1.0700110605857258,5.921039424036043,2.433318603067844,-0.0144978839970564,2.482782791484538,56.923802931973725,7.5447864735838435,-0.0374914574481963,3.170823231059396,97.54801475448166,9.876639851411088,-0.0410634085800962,2.080562969278311,43.016251084304606,6.558677540808406,-0.0198458948879305,1.545730764985405,27.80052929956234,5.272620724038696,-0.0022044842345363,3.648321203424255,92.78238188275505,9.632361179002531,-0.0720689953288091,2.852678974402627,84.18150819127162,9.175048130188287,-0.0410626794833774
lstm_absorption_houses_4,absorption,1.0,4,2.136284630723856,36.35532335408598,5.413681068726111,-0.1239412754012312,2.412487611673688,45.151566589264114,6.138327317418816,-0.0911176648470983,1.5481401087357014,12.828496587931305,3.5816890691308343,-0.0510274511083861,1.3030260767532704,4.198437576184755,2.049008925355074,-0.429830506876014,2.96713084167029,65.31025181832067,8.081475844072088,-0.0086714794435192,2.726841495736161,63.08410743390721,7.942550436346451,-0.0062356641770056,1.284139603375658,2.915769726916418,1.7075625103979115,-0.7640610117141273,2.546567889887004,30.276477240355938,5.502406495375995,-0.0170603453648114,1.768936721844691,20.258473835114497,4.500941438756396,-0.008282462992476,3.422538629354902,69.75851504791733,8.352156311271798,-0.0335971775634811,3.683258594531046,110.18233639843412,10.496777429212935,-0.0185892866755421,1.684133693355105,20.252161143435004,4.500240120641898,-0.0297303519410441,1.6064722009861327,10.429210934256586,3.229428886700648,-0.0458810516240137,2.620695696943842,51.05791462528901,7.145482112866073,0.003026982961405,1.2944505072437096,3.334325860702901,1.826013652934419,-0.6300936157221884,3.5868048472908014,111.79834369202732,10.57347358686006,-0.0218410170110778,2.001844696517134,16.735104616609863,4.090856220476328,-0.0008797368387105,1.899513855423265,23.788771078336342,4.877373379016245,-0.0023453459038094,1.4011243123487842,6.690846357891828,2.5866670365340467,-0.2117366959998019,2.1350041169113205,53.46602813958536,7.312046781824181,-0.0023160085629947,3.1849222987445565,71.86387702736717,8.477256456387714,-0.0173310501008554,3.27121180069853,80.5612919579274,8.975594239822085,-0.0152071181324495,1.921794727176345,34.9342915514696,5.910523796709526,-0.0103712711478742,1.566067706723213,6.589355300673406,2.56697395792661,-0.1290056577399649,2.863981034693164,55.622487043224936,7.458048474180423,-0.0137737146327321,3.591728088656002,95.77473897153084,9.786456916143392,-0.022138445979895,2.481439900799156,42.28730763704564,6.502869184986396,-0.0025638221002175,2.02217823263569,27.80685859289596,5.273220893618619,-0.0024326542126285,3.9953084353732176,90.12659637728665,9.493502850754648,-0.0413822933830274,3.1703970124545697,82.311487926757,9.07256787942405,-0.01793636173151
lstm_absorption_houses_14,absorption,1.0,14,3.1334875531680946,42.60326424324644,5.952835881260002,-0.5950109119396886,3.265355634334493,46.50037126600699,6.364139524305765,-0.3903841614560688,2.477348799223541,16.01755264460887,4.002193479157257,-0.3123040111259219,2.256007248176546,7.954176601175741,2.820314982617321,-1.708894476829545,3.772891928812183,65.60356460508135,8.099602743658565,-0.0132014917207006,3.5969841434176257,63.79586878776794,7.987231609748646,-0.0175887559107237,2.2299823665593985,6.653481647647574,2.579434365834412,-3.0254027807550843,3.2145474697039607,30.76846081581209,5.546932559154843,-0.0335872676086059,2.630520191332806,22.753587312119368,4.770072044751459,-0.1324665048170026,4.059909946858213,68.43384093104007,8.272474897576908,-0.0139697610759716,4.506990236327903,108.69993460143114,10.425926078839764,-0.0048851065108019,2.572706039071219,22.934382713145816,4.788985562010582,-0.1661091285763494,2.4801218774235694,13.30290597711337,3.6473148996369056,-0.3340661513804854,3.422871257488115,51.69334575259428,7.189808464249537,-0.0093806465463901,2.268991219189122,7.256568349990537,2.6938018394066288,-2.5476093919860148,4.378953020769119,110.5780286659222,10.515608810997213,-0.010687292312044,2.7024093288065423,18.23668231674445,4.270442871265748,-0.0906848935905642,2.81186182633405,26.356113509068862,5.133820556765581,-0.1105209102619875,2.443620512881164,10.894532846688492,3.300686723499898,-0.973039661946022,3.042748054107121,55.43134757597421,7.445223138091578,-0.0391594248700788,3.850629892724229,71.26289239111121,8.441735152864677,-0.0088232940989914,4.069386939151361,80.03432881865734,8.946190743476095,-0.0085665005731037,2.8422193106239284,37.430887205288585,6.118078718461261,-0.0825779314883177,2.826757168295118,12.403470506004007,3.521856116595908,-1.1251833810597909,3.651643550585803,56.03696793691051,7.485784390223279,-0.021328030478221,4.444164982118988,94.62849226894664,9.727717731767644,-0.0099053369590123,3.2747968082503114,43.24180732658085,6.575850312057053,-0.0251934693964432,2.9096448202316565,29.919455222415163,5.469867934641124,-0.0785914133739831,4.797820292547563,88.0036466702742,9.381025885811969,-0.0168523286058084,3.893428530354624,81.6840714480806,9.03792406739958,-0.0101771769119611
lstm_absorption_houses_28,absorption,1.0,28,3.5456159936210563,46.422104417090345,6.381214792182171,-0.446293991311498,3.5456159936210563,46.422104417090345,6.381214792182171,-0.446293991311498,2.8017405534118054,16.700892183854002,4.086672507536419,-0.3682894190224495,2.5965395795163704,8.880102496054613,2.979950082812565,-2.024230138627676,4.045993844011363,65.39497710683074,8.08671608916937,-0.0099800026803575,3.891794164658833,63.51557116042469,7.969665686866965,-0.0131178125830073,2.567529077186759,7.613596719394241,2.759274672698288,-3.606279092485834,3.443291247665514,30.535228066110285,5.525868987418204,-0.0257524135376023,2.927055567912013,23.161302418119583,4.81261908092876,-0.1527588523365004,4.278595218020267,67.60056296687479,8.221956152089039,-0.001623257551707,4.75049449786168,107.49703344118583,10.368077615507412,0.0062352080042694,2.891034003155499,23.59815008124778,4.857792716990689,-0.199858682548488,2.7851756094496163,13.935792638822535,3.7330674570415328,-0.3975344397754399,3.69811782314641,51.43328329082876,7.171700167382122,-0.0043025845254787,2.6020768421178904,8.165924442484226,2.8576081681161654,-2.992177686363717,4.643130618083803,109.77967747584776,10.47757975277916,-0.0033903327592024,2.9360590452816138,18.33296976461622,4.281701736998529,-0.0964435761739663,3.118549113151083,26.69693341153549,5.166907528835356,-0.1248814353140845,2.7696791268499403,11.652130699743156,3.413521744436844,-1.110243398252781,3.364830220063431,55.82999012105624,7.471946876220162,-0.046632690016803,4.049358406195126,70.118996245784,8.373708631531432,0.007370113700143,4.33344014391887,79.22865937714337,8.901048217886665,0.0015862828792021,3.172530442288456,38.08565442716908,6.171357583803508,-0.101515140771734,3.080486216874534,12.341499161272605,3.513046991042477,-1.1145653470296164,3.905637694670109,55.46522094738244,7.447497629901096,-0.010907387673219,4.714195753967837,93.67479571185748,9.67857405364331,0.0002728157278798,3.548590699572177,43.1029484067498,6.56528357397834,-0.0219013484936054,3.226098500003728,30.12175421336668,5.488328909000141,-0.0858842585462291,5.012994414936858,86.4740116467842,9.299140371388326,0.0008220859713632,4.122229397417981,80.88126505598886,8.99340119509793,-0.0002489659353004
lstm_blr_mod_lvl_houses_1,blr_mod_lvl,1.0,1,1.0390240620958775,12.251246445152368,3.5001780590639053,-0.0037338542275198,1.9692073300078567,45.76626081552564,6.138134331223261,-0.0405001190343191,1.0390240620958775,12.251246445152368,3.5001780590639053,-0.0037338542275198,0.7702258656981061,3.256076007461236,1.8044600321041293,-0.1088974704742145,2.568130057969934,66.91412643683086,8.180105527242961,-0.0334422089883326,2.2544967245474674,63.85067233979548,7.990661570846026,-0.01846291092088,0.7601980685734445,1.981022234889076,1.4074879164273757,-0.1985322625605303,2.19197762355917,31.16593891266825,5.582646228507431,-0.0469395214806085,1.3020263941802357,20.05627613442588,4.478423398298321,0.0017810984249144,3.080525204418681,71.67535508571997,8.466129876497288,-0.0619985913773089,3.293086113350041,112.7781917608727,10.619707705999854,-0.0425868760203334,1.189824479964479,19.76266011608942,4.445521354811989,-0.004841449389171,1.1360433570732,10.003970384889016,3.1629053708400785,-0.0032363073792809,2.1968031295184307,52.090109282692886,7.2173478011450225,-0.0171279769368875,0.7670620645338264,2.3819164408706395,1.543345859122523,-0.1644773023559447,3.177766268352922,113.66253218891724,10.66126316103853,-0.0388797691665492,1.6891061483242182,17.259197022386903,4.154418975306523,-0.0322242357940563,1.4207071622988718,23.78350459390317,4.876833459726012,-0.0021234413697863,0.8554406193043483,5.7820258328285234,2.40458433680928,-0.047145981852257,1.6372829890979517,53.59706866432121,7.321001889381071,-0.0047725967982286,2.8510301560650326,73.7103802036237,8.585474955040269,-0.0434708172971067,2.862704124157237,82.3206932993121,9.073075184264267,-0.0373785198318847,1.4196897726619395,34.81562172236176,5.9004763979158295,-0.0069390966065188,1.0242454589323555,5.847255534760155,2.418109909569901,-0.0018559145415955,2.460418380918542,56.89638064676608,7.542968954381696,-0.0369916597329762,3.1454631832442908,97.61367925106654,9.879963524784216,-0.0417642009520009,2.062386889205273,43.05488857444821,6.56162240413514,-0.0207619274272166,1.5202110065734378,27.79012293564301,5.271633801360164,-0.0018293365360153,3.6262000734160753,92.92689083602424,9.639859482172149,-0.0737387473356432,2.8357298621846216,84.22749994599725,9.177554137459351,-0.0416314540330022
lstm_blr_mod_lvl_houses_4,blr_mod_lvl,1.0,4,2.1167705905509053,36.334651716622766,5.409062061545471,-0.1185596817136677,2.3959224107325574,45.13454382817006,6.133928960403055,-0.085671844542183,1.5245026494016725,12.779821098140316,3.574887564405392,-0.0470395110083039,1.282070849172669,4.146105264800248,2.036198729201118,-0.4120080827110655,2.9526439588456546,65.32653806933799,8.082483409778085,-0.0089230092791992,2.707864904783626,63.08614243421252,7.942678542797292,-0.0062681238561022,1.2608359794737731,2.8536827778403566,1.6892846941354664,-0.7264979746916318,2.533009298946931,30.272051191150084,5.502004288543411,-0.0169116636308641,1.749437572141997,20.22918711395861,4.497686862594883,-0.0068248365404124,3.410944981173792,69.79349728513839,8.354250252723963,-0.0341155019806855,3.6935685946251455,110.177876696778,10.496564995119977,-0.0185480586123358,1.6652113096338748,20.208133974244728,4.495345812531526,-0.0274917704827764,1.5891457441440664,10.401471812287133,3.225131286054435,-0.0430992666702556,2.614535405691501,51.056682603817215,7.145395902524731,0.0030510398029819,1.269835308947227,3.2661178656608603,1.8072404006276697,-0.5967479194992662,3.5882165432460384,111.79379544715349,10.57325850658885,-0.0217994458838599,1.9956612849200828,16.728765637727083,4.090081372995785,-0.0005006202654009,1.88682201246484,23.735424690943184,4.871901547747366,-9.75835898542332e-05,1.3620266857242598,6.587746048272419,2.5666604855867514,-0.193064853627046,2.114006471387676,53.455392541564,7.311319480200821,-0.0021166253185882,3.1816037422868195,71.946568271037,8.482132295068086,-0.0185016572714837,3.265505492029201,80.54428668165568,8.974646883396343,-0.0149928231888309,1.9158674080866127,34.93391620031109,5.910492043841281,-0.0103604152234935,1.4860309924253274,6.388779610286466,2.527603531071767,-0.0946394596949493,2.8497792625913654,55.6421574704454,7.459367095836308,-0.0141322272259749,3.5647104506898413,95.74823975961104,9.785102950894847,-0.0218556379704026,2.478419326604401,42.28972003155255,6.503054669272937,-0.0026210160809831,2.002219420082511,27.78310120458743,5.270967767363734,-0.0015762042925211,3.9761163387734006,90.24236309605804,9.499598049183872,-0.0427199386058243,3.165235512217311,82.34966231019054,9.074671471198863,-0.0184084597819942
lstm_blr_mod_lvl_houses_14,blr_mod_lvl,1.0,14,2.8009760896970897,41.84731452592728,5.829323011346121,-0.3831773840944051,2.915600241765951,45.72487464350145,6.248812955425568,-0.2361268938481052,2.1006971722951104,14.515571618734114,3.809930657995512,-0.1892480256939754,1.8849543325865687,6.286781961834498,2.5073456007966866,-1.141042346347667,3.465074318958375,65.56465372316335,8.097200363283802,-0.0126005401742026,3.234769965971389,63.12385948547681,7.945052516218934,-0.006869737220744,1.8508748651083928,4.9152337604335,2.2170326475795297,-1.973750691009327,2.943008489802089,30.31070998667867,5.505516323350488,-0.018210306389724,2.290884127360464,21.6139614441474,4.649081785056851,-0.0757463004027021,3.8087289105526994,68.72801327339207,8.290236020367097,-0.0183284505143044,4.202503771223882,109.58174307848076,10.468129874933764,-0.0130370544271525,2.225891237681424,21.65620475867977,4.653622756378064,-0.1011195886663232,2.142939486675292,12.004501308022052,3.464751262070923,-0.2038571787838776,3.130474042370289,51.45732436797789,7.173376078805425,-0.0047720182145321,1.856182402030301,5.304320123431901,2.30311096637394,-1.593189367259482,4.076682133142978,110.79952447252909,10.52613530563469,-0.0127117722176584,2.43479964908098,17.508883620689776,4.1843617937135615,-0.0471572919372429,2.466267172562643,25.231965404833108,5.023142980727615,-0.0631546710949062,1.9504522036406329,8.52540406421105,2.9198294580696063,-0.543981792474687,2.6793198717762405,54.3738272065794,7.3738610786059295,-0.0193343203596099,3.60968524462608,71.70032902541107,8.467604680510957,-0.0150158053986015,3.770403421052146,80.06919669053707,8.94813928649622,-0.0090058941188713,2.495666778735511,36.29502012244937,6.024534846977763,-0.0497263287399931,2.037006315068416,8.062540555228667,2.8394613142687235,-0.3814179820719667,3.3264727102657305,55.48253929964202,7.448660235212908,-0.0112230314215222,4.056035337675933,94.65208568484374,9.728930346386685,-0.0101571333900472,2.983329932142264,42.6727350302026,6.532437143226302,-0.0117016836009633,2.567807312583349,28.95802623794765,5.381266229982275,-0.043932057463019,4.419011524226479,88.96269766096773,9.43200390484269,-0.027933837952716,3.626884040250952,81.93883605151547,9.052007294048954,-0.0133278204011257
lstm_blr_mod_lvl_houses_28,blr_mod_lvl,1.0,28,3.311285807762044,45.58971287347523,6.275995378639203,-0.3046943041141955,3.311285807762044,45.58971287347523,6.275995378639203,-0.3046943041141955,2.4403721111931165,15.231292274099369,3.902728824053673,-0.2478863899760404,2.2559773846617537,7.373375301938463,2.715395975164297,-1.5110953191635297,3.883796256462342,64.87747462250185,8.054655462681309,-0.0019875362305898,3.6056882966902366,63.02188236008041,7.938632272632384,-0.0052431307000584,2.173116704535623,5.80378509436442,2.4091046250348738,-2.5113304424638367,3.275475134404859,30.15524782891737,5.491379410395659,-0.0129879552354426,2.615819751422893,22.069887151875115,4.697859848045184,-0.0984381329302148,4.127643499996539,67.49221058279521,8.215364300065774,-1.7823171541975213e-05,4.837658047126845,107.21551812358956,10.354492654089311,0.0088376985296128,2.60463173886826,22.488876874543323,4.742243864938129,-0.1434571814223164,2.579437215414679,13.250489134918675,3.640122131868473,-0.3288095905166646,3.570101413496883,51.103064936547774,7.148640775458491,0.0021453636793334,2.234338482089436,6.452013864207271,2.5400814680256363,-2.154276770770755,4.569891312353583,110.16151169702373,10.495785425446908,-0.0068803117339182,2.818458348604419,17.983032095994446,4.24064052897607,-0.0755147842898391,2.9605661263644283,25.92490045142572,5.0916500715805,-0.0923516488067244,2.295058405411926,9.48753576868454,3.080184372514824,-0.7182273557912195,3.053754099607376,54.92877085595899,7.411394663351762,-0.0297377283362092,3.999617604154191,70.62613850021322,8.403935893390264,0.0001908244161487,4.192848041840406,78.81391937089694,8.877720392696368,0.0068127011289909,2.9737942849358747,37.49049460520983,6.122948195535368,-0.0843018995939766,2.340051429439137,8.69968973598792,2.9495236456058325,-0.490585722628919,3.700917164032416,54.93350729857519,7.411714194339606,-0.0012163912880027,4.37388075872919,91.74394994605404,9.57830621488236,0.0208794152517398,3.419572339263462,42.25901258198788,6.500693238569859,-0.0018929920065111,2.879921246096347,29.092932523059915,5.393786473624991,-0.0487954067336147,4.874036650764859,86.52771059280131,9.302027230276275,0.0002016128390908,4.059578769376135,81.30373628305405,9.016858448653505,-0.0054736172524638
lstm_insulation_houses_1,insulation,1.0,1,1.0832069876344106,12.355131004896242,3.5149866294050454,-0.0122450249082808,2.009317857441798,45.81624198911991,6.146952513491683,-0.0493267706095972,1.0832069876344106,12.355131004896242,3.5149866294050454,-0.0122450249082808,0.8047456160402059,3.346723388075982,1.8294052006255968,-0.1397685714062686,2.611352507132442,66.98634267052722,8.18451847517783,-0.0345575385614715,2.3198150374563618,63.82753367664752,7.989213583116145,-0.0180938330496398,0.8169268819346895,2.123511982129944,1.457227498412634,-0.2847395529909859,2.2313945645089617,31.26477836889793,5.591491605010056,-0.0502597786786527,1.336956173471425,20.10733455545232,4.484120265498275,-0.0007601251109015,3.120777821695968,71.7048002404966,8.467868695279622,-0.0624348740138931,3.32501894544231,112.60082458963672,10.611353570098242,-0.040947191236591,1.2424235117297968,19.898085061487333,4.460726965583898,-0.0117271923821338,1.171027677177335,10.101583522301045,3.178298840936932,-0.0130253251153682,2.240150306297662,51.97479488840595,7.209354679054565,-0.0148763115403722,0.8061533351702815,2.4851281551838573,1.576428924875415,-0.2149357049231839,3.2087756620542613,113.77283187437298,10.666434824925007,-0.0398879123915956,1.7189488461839857,17.393213592955007,4.170517185308677,-0.0402393915373575,1.4581873781773331,23.91242484420661,4.890033215041245,-0.0075555257956232,0.893045937466187,5.885999354572107,2.426107861281544,-0.065975966127731,1.6833409832827986,53.66975476900177,7.325964425862425,-0.0061352274041965,2.87461016474803,73.70262509035045,8.58502330167778,-0.0433610331071128,2.900149366395129,82.3671011015924,9.075632270073111,-0.0379633358156699,1.4575376178081167,34.923468847321786,5.909608180524474,-0.0100582563746443,1.0621575132457446,5.906667472109208,2.4303636501785504,-0.0120354253349144,2.5058536647705787,56.98407717436425,7.548779846727831,-0.0385900139107417,3.1785623166172075,97.62920749719052,9.880749338850292,-0.0419299233286547,2.096157247695717,43.06043804666691,6.562045263991015,-0.0208934964579294,1.5686052805192845,27.86270106255681,5.278513148847582,-0.0044457660099403,3.670169084647106,92.74064334055149,9.630194356322798,-0.0715867206113596,2.8748495790670265,84.26704952340621,9.179708575080486,-0.0421205589435069
lstm_insulation_houses_4,insulation,1.0,4,2.2045928251971483,36.35467107038245,5.421155973584519,-0.1351551011690329,2.466258090860928,45.11315351997974,6.141764514642497,-0.1013552179416636,1.6138142512090934,12.958258596946246,3.5997581303396267,-0.0616587384654478,1.3417288300312975,4.310211929794098,2.0761049900701307,-0.4678966631012651,3.026270098330917,65.20726678718303,8.075101658009206,-0.0070809471637331,2.836558121217285,62.94294696760643,7.933659115919112,-0.0039840559456856,1.3801398874168809,3.196188786826211,1.7877887981599536,-0.9337164978665142,2.594404730030545,30.228964083512142,5.498087311375852,-0.0154642631216461,1.815586010230292,20.30489376340141,4.506095179132528,-0.0105928245728239,3.479916395014361,69.49551641225528,8.336397088206349,-0.0297003823502042,3.742432929012632,109.90670429686756,10.483639840096927,-0.0160411840041188,1.7660656799226315,20.41317217841336,4.518093865604539,-0.0379170313053029,1.6462183151478085,10.51464219899736,3.242628902448962,-0.0544484247044791,2.703917755048218,50.93774245014541,7.137068197106247,0.0053735029259488,1.3389982183335982,3.4613277422695905,1.860464388874345,-0.6921826151107875,3.6312612271113136,111.64255715263516,10.566104161545784,-0.0204171222502829,2.0147143773753764,16.76939568271191,4.095045260154265,-0.0029305894627178,1.9424604724404264,23.83708944738561,4.882324184994848,-0.004381251507266,1.4334813083623568,6.776686659103908,2.60320699505512,-0.2272826878535274,2.2040953622634296,53.49294563973852,7.31388717712671,-0.0028206250877869,3.205798593314629,71.70656232636253,8.467972740057832,-0.0151040462626552,3.328026119843387,80.3724830232556,8.965070162762565,-0.0128278095366227,1.981019664931046,35.02447233225204,5.918147711256625,-0.0129794840545898,1.5686230534314587,6.557228962514421,2.56070868364881,-0.1235012015543515,2.931072524181033,55.52868838712274,7.451757402594555,-0.0120641432510844,3.62134993412048,95.68897261029656,9.782074044408812,-0.0212231201212274,2.5293562223403487,42.17667561428998,6.49435721332681,5.908462473025456e-05,2.101481057243073,27.874416422614686,5.279622753816288,-0.0048681028028241,4.053885402776352,89.70261749374848,9.47114657756644,-0.0364833609942298,3.222550003425712,82.13967061118231,9.06309387633066,-0.0158115174660851
